1,2,3,4,5,6,7,8,9,10,11
213,1.167,1.034,0.937,0.937,0.937,0.937,0.966,0.937,1.167,0.937,0.937
214,1.034,0.937,0.937,0.937,0.937,0.966,0.937,1.167,0.937,0.937,0.937
215,0.937,0.937,0.937,0.937,0.966,0.937,1.167,0.937,0.937,0.937,1.009
216,0.937,0.937,0.937,0.966,0.937,1.167,0.937,0.937,0.937,1.009,0.997
217,0.937,0.937,0.966,0.937,1.167,0.937,0.937,0.937,1.009,0.997,1.19
218,0.937,0.966,0.937,1.167,0.937,0.937,0.937,1.009,0.997,1.19,0.997
219,0.966,0.937,1.167,0.937,0.937,0.937,1.009,0.997,1.19,0.997,1.19
220,0.937,1.167,0.937,0.937,0.937,1.009,0.997,1.19,0.997,1.19,0.997
221,1.167,0.937,0.937,0.937,1.009,0.997,1.19,0.997,1.19,0.997,1.19
222,0.937,0.937,0.937,1.009,0.997,1.19,0.997,1.19,0.997,1.19,0.997
223,0.937,0.937,1.009,0.997,1.19,0.997,1.19,0.997,1.19,0.997,0.997
224,0.937,1.009,0.997,1.19,0.997,1.19,0.997,1.19,0.997,0.997,0.997
225,1.009,0.997,1.19,0.997,1.19,0.997,1.19,0.997,0.997,0.997,0.997
226,0.997,1.19,0.997,1.19,0.997,1.19,0.997,0.997,0.997,0.997,1.19
227,1.19,0.997,1.19,0.997,1.19,0.997,0.997,0.997,0.997,1.19,1.1
228,0.997,1.19,0.997,1.19,0.997,0.997,0.997,0.997,1.19,1.1,1.1
229,1.19,0.997,1.19,0.997,0.997,0.997,0.997,1.19,1.1,1.1,1.1
230,0.997,1.19,0.997,0.997,0.997,0.997,1.19,1.1,1.1,1.1,1.1
231,1.19,0.997,0.997,0.997,0.997,1.19,1.1,1.1,1.1,1.1,1.1
232,0.997,0.997,0.997,0.997,1.19,1.1,1.1,1.1,1.1,1.1,1.198
233,0.997,0.997,0.997,1.19,1.1,1.1,1.1,1.1,1.1,1.198,1.1
234,0.997,0.997,1.19,1.1,1.1,1.1,1.1,1.1,1.198,1.1,1.198
235,0.997,1.19,1.1,1.1,1.1,1.1,1.1,1.198,1.1,1.198,1.034
236,1.19,1.1,1.1,1.1,1.1,1.1,1.198,1.1,1.198,1.034,1.1
237,1.1,1.1,1.1,1.1,1.1,1.198,1.1,1.198,1.034,1.1,1.195
238,1.1,1.1,1.1,1.1,1.198,1.1,1.198,1.034,1.1,1.195,1.1
239,1.1,1.1,1.1,1.198,1.1,1.198,1.034,1.1,1.195,1.1,1.195
240,1.1,1.1,1.198,1.1,1.198,1.034,1.1,1.195,1.1,1.195,1.1
241,1.1,1.198,1.1,1.198,1.034,1.1,1.195,1.1,1.195,1.1,0.994
242,1.198,1.1,1.198,1.034,1.1,1.195,1.1,1.195,1.1,0.994,1.195
243,1.1,1.198,1.034,1.1,1.195,1.1,1.195,1.1,0.994,1.195,1.1
244,1.198,1.034,1.1,1.195,1.1,1.195,1.1,0.994,1.195,1.1,1.1
245,1.034,1.1,1.195,1.1,1.195,1.1,0.994,1.195,1.1,1.1,1.1
246,1.1,1.195,1.1,1.195,1.1,0.994,1.195,1.1,1.1,1.1,1.195
247,1.195,1.1,1.195,1.1,0.994,1.195,1.1,1.1,1.1,1.195,1.1
248,1.1,1.195,1.1,0.994,1.195,1.1,1.1,1.1,1.195,1.1,1.195
249,1.195,1.1,0.994,1.195,1.1,1.1,1.1,1.195,1.1,1.195,1.1
250,1.1,0.994,1.195,1.1,1.1,1.1,1.195,1.1,1.195,1.1,1.1
251,0.994,1.195,1.1,1.1,1.1,1.195,1.1,1.195,1.1,1.1,1.1
252,1.195,1.1,1.1,1.1,1.195,1.1,1.195,1.1,1.1,1.1,1.1
253,1.1,1.1,1.1,1.195,1.1,1.195,1.1,1.1,1.1,1.1,1.195
254,1.1,1.1,1.195,1.1,1.195,1.1,1.1,1.1,1.1,1.195,1.195
255,1.1,1.195,1.1,1.195,1.1,1.1,1.1,1.1,1.195,1.195,1.034
256,1.195,1.1,1.195,1.1,1.1,1.1,1.1,1.195,1.195,1.034,0.991
257,1.1,1.195,1.1,1.1,1.1,1.1,1.195,1.195,1.034,0.991,0.991
258,1.195,1.1,1.1,1.1,1.1,1.195,1.195,1.034,0.991,0.991,1.034
259,1.1,1.1,1.1,1.1,1.195,1.195,1.034,0.991,0.991,1.034,1.034
260,1.1,1.1,1.1,1.195,1.195,1.034,0.991,0.991,1.034,1.034,1.034
261,1.1,1.1,1.195,1.195,1.034,0.991,0.991,1.034,1.034,1.034,1.181
262,1.1,1.195,1.195,1.034,0.991,0.991,1.034,1.034,1.034,1.181,1.034
263,1.195,1.195,1.034,0.991,0.991,1.034,1.034,1.034,1.181,1.034,1.195
264,1.195,1.034,0.991,0.991,1.034,1.034,1.034,1.181,1.034,1.195,1.19
265,1.034,0.991,0.991,1.034,1.034,1.034,1.181,1.034,1.195,1.19,1.034
266,0.991,0.991,1.034,1.034,1.034,1.181,1.034,1.195,1.19,1.034,1.195
267,0.991,1.034,1.034,1.034,1.181,1.034,1.195,1.19,1.034,1.195,1.19
268,1.034,1.034,1.034,1.181,1.034,1.195,1.19,1.034,1.195,1.19,0.991
269,1.034,1.034,1.181,1.034,1.195,1.19,1.034,1.195,1.19,0.991,1.195
270,1.034,1.181,1.034,1.195,1.19,1.034,1.195,1.19,0.991,1.195,1.034
271,1.181,1.034,1.195,1.19,1.034,1.195,1.19,0.991,1.195,1.034,1.195
272,1.034,1.195,1.19,1.034,1.195,1.19,0.991,1.195,1.034,1.195,1.19
273,1.195,1.19,1.034,1.195,1.19,0.991,1.195,1.034,1.195,1.19,1.19
274,1.19,1.034,1.195,1.19,0.991,1.195,1.034,1.195,1.19,1.19,1.037
275,1.034,1.195,1.19,0.991,1.195,1.034,1.195,1.19,1.19,1.037,1.19
276,1.195,1.19,0.991,1.195,1.034,1.195,1.19,1.19,1.037,1.19,0.991
277,1.19,0.991,1.195,1.034,1.195,1.19,1.19,1.037,1.19,0.991,1.112
278,0.991,1.195,1.034,1.195,1.19,1.19,1.037,1.19,0.991,1.112,1.037
279,1.195,1.034,1.195,1.19,1.19,1.037,1.19,0.991,1.112,1.037,1.19
280,1.034,1.195,1.19,1.19,1.037,1.19,0.991,1.112,1.037,1.19,1.037
281,1.195,1.19,1.19,1.037,1.19,0.991,1.112,1.037,1.19,1.037,0.989
282,1.19,1.19,1.037,1.19,0.991,1.112,1.037,1.19,1.037,0.989,1.19
283,1.19,1.037,1.19,0.991,1.112,1.037,1.19,1.037,0.989,1.19,1.037
284,1.037,1.19,0.991,1.112,1.037,1.19,1.037,0.989,1.19,1.037,1.037
285,1.19,0.991,1.112,1.037,1.19,1.037,0.989,1.19,1.037,1.037,1.175
286,0.991,1.112,1.037,1.19,1.037,0.989,1.19,1.037,1.037,1.175,1.175
287,1.112,1.037,1.19,1.037,0.989,1.19,1.037,1.037,1.175,1.175,1.19
288,1.037,1.19,1.037,0.989,1.19,1.037,1.037,1.175,1.175,1.19,1.037
289,1.19,1.037,0.989,1.19,1.037,1.037,1.175,1.175,1.19,1.037,1.037
290,1.037,0.989,1.19,1.037,1.037,1.175,1.175,1.19,1.037,1.037,1.19
291,0.989,1.19,1.037,1.037,1.175,1.175,1.19,1.037,1.037,1.19,1.198
292,1.19,1.037,1.037,1.175,1.175,1.19,1.037,1.037,1.19,1.198,1.19
293,1.037,1.037,1.175,1.175,1.19,1.037,1.037,1.19,1.198,1.19,1.198
294,1.037,1.175,1.175,1.19,1.037,1.037,1.19,1.198,1.19,1.198,1.037
295,1.175,1.175,1.19,1.037,1.037,1.19,1.198,1.19,1.198,1.037,1.198
296,1.175,1.19,1.037,1.037,1.19,1.198,1.19,1.198,1.037,1.198,1.04
297,1.19,1.037,1.037,1.19,1.198,1.19,1.198,1.037,1.198,1.04,1.198
298,1.037,1.037,1.19,1.198,1.19,1.198,1.037,1.198,1.04,1.198,1.037
299,1.037,1.19,1.198,1.19,1.198,1.037,1.198,1.04,1.198,1.037,1.19
300,1.19,1.198,1.19,1.198,1.037,1.198,1.04,1.198,1.037,1.19,1.037
301,1.198,1.19,1.198,1.037,1.198,1.04,1.198,1.037,1.19,1.037,1.037
