price_per_night;timestamp,Influencer_or_Not
 362;2019-05-01 08,Influencer
 282;2019-04-29 23,Influencer
 281;2019-04-29 03,Influencer
 256;2019-04-24 01,Influencer
 235;2019-05-10 07,Influencer
 275;2019-05-10 03,Influencer
 283;2019-04-25 06,Influencer
 372;2019-04-24 16,Influencer
 281;2019-04-26 19,Influencer
 281;2019-05-06 04,Influencer
 378;2019-04-21 23,Influencer
 281;2019-05-05 16,Influencer
 281;2019-04-26 05,Influencer
 281;2019-04-28 08,Influencer
 362;2019-05-05 22,Influencer
 362;2019-05-07 11,Influencer
 281;2019-04-26 03,Influencer
 371;2019-04-21 11,Influencer
 281;2019-04-30 10,Influencer
 282;2019-05-02 04,Influencer
 281;2019-05-06 09,Influencer
 282;2019-05-01 00,Influencer
 233;2019-04-22 00,Influencer
 233;2019-05-05 01,Influencer
 276;2019-05-08 09,Influencer
 282;2019-05-02 05,Influencer
 371;2019-04-22 14,Influencer
 275;2019-05-09 22,Influencer
 371;2019-04-20 08,Influencer
 234;2019-05-01 09,Influencer
 371;2019-04-21 08,Influencer
 281;2019-04-28 10,Influencer
 372;2019-04-23 20,Influencer
 282;2019-04-30 23,Influencer
 282;2019-05-07 06,Influencer
 371;2019-04-23 02,Influencer
 282;2019-05-01 15,Influencer
 275;2019-05-11 22,Influencer
 281;2019-05-06 14,Influencer
 282;2019-05-07 14,Influencer
 295;2019-04-19 13,Influencer
 233;2019-04-22 02,Influencer
 281;2019-04-28 15,Influencer
 281;2019-05-06 19,Influencer
 372;2019-04-23 13,Influencer
 276;2019-05-09 00,Influencer
 275;2019-05-11 20,Influencer
 371;2019-04-22 16,Influencer
 275;2019-05-10 06,Influencer
 281;2019-05-07 00,Influencer
 281;2019-04-27 18,Influencer
 371;2019-04-21 15,Influencer
 371;2019-04-22 13,Influencer
 283;2019-04-25 12,Influencer
 311;2019-04-19 02,Influencer
 275;2019-05-11 11,Influencer
 275;2019-05-11 08,Influencer
 371;2019-04-18 15,Influencer
 276;2019-05-08 05,Influencer
 275;2019-05-10 01,Influencer
 282;2019-05-02 15,Influencer
 294;2019-05-09 02,Influencer
 276;2019-05-10 12,Influencer
 281;2019-05-04 08,Influencer
 372;2019-04-23 21,Influencer
 235;2019-04-20 15,Influencer
 276;2019-05-09 04,Influencer
 275;2019-05-11 05,Influencer
 281;2019-04-27 13,Influencer
 276;2019-05-08 23,Influencer
 275;2019-05-11 23,Influencer
 276;2019-05-10 14,Influencer
 281;2019-04-26 13,Influencer
 378;2019-04-21 18,Influencer
 281;2019-05-06 18,Influencer
 282;2019-05-03 03,Influencer
 283;2019-04-25 01,Influencer
 276;2019-05-08 00,Influencer
 371;2019-04-23 04,Influencer
 371;2019-04-20 18,Influencer
 275;2019-05-12 00,Influencer
 282;2019-05-07 13,Influencer
 275;2019-05-11 21,Influencer
 371;2019-04-21 13,Influencer
 363;2019-04-19 14,Influencer
 234;2019-04-26 18,Influencer
 275;2019-05-10 08,Influencer
 363;2019-05-08 18,Influencer
 294;2019-05-08 13,Influencer
 281;2019-04-30 18,Influencer
 281;2019-04-28 17,Influencer
 293;2019-05-07 01,Influencer
 233;2019-04-23 14,Influencer
 281;2019-05-07 02,Influencer
