2019-04-17 17:40:49.699312,platform_name,price_per_night,timestamp
,, 884,2019-04-29 18:20:01.403132
,, 885,2019-04-24 05:20:01.103860
,, 880,2019-04-20 21:20:01.267948
,, 877,2019-05-12 06:12:01.284012
,, 881,2019-05-06 13:12:01.703033
,," 1,938",2019-04-26 08:20:01.367688
,," 1,930",2019-04-22 23:20:01.518303
,, 880,2019-04-20 09:13:42.001841
,, 882,2019-05-07 05:12:01.711749
,, 882,2019-05-07 20:12:01.260408
,, 881,2019-05-06 15:12:01.695256
,," 1,938",2019-05-03 05:12:01.385503
,, 880,2019-04-22 04:20:01.267467
,, 881,2019-05-04 14:12:01.319405
,, 884,2019-05-03 21:12:01.129597
,, 877,2019-05-12 05:12:01.615995
,," 1,932",2019-04-24 02:20:01.307409
,, 885,2019-04-24 14:20:01.380288
,, 880,2019-04-20 16:02:01.455611
,, 884,2019-05-03 06:12:01.627326
,, 884,2019-05-03 14:12:01.052213
,, 884,2019-04-28 15:20:01.847079
,, 884,2019-04-30 20:12:02.100210
,, 885,2019-04-24 20:20:01.481606
,, 880,2019-04-21 10:20:01.620944
,," 1,934",2019-05-07 12:12:01.284370
,, 885,2019-04-25 16:20:01.692097
,, 884,2019-04-30 13:12:01.418253
,," 1,937",2019-05-08 21:12:01.731862
,," 1,930",2019-04-21 08:20:01.868094
,, 880,2019-04-21 22:20:01.523245
,, 885,2019-04-26 06:20:01.518534
,," 1,930",2019-04-27 16:20:01.287569
,," 1,938",2019-05-02 15:12:01.073395
,," 1,930",2019-04-23 00:20:01.464388
